classes,fpr,tpr,auc
Axilla,0.515625,1.0,1.0
Axilla,0.5298295454545454,1.0,1.0
Axilla,0.5326704545454546,1.0,1.0
Axilla,0.5369318181818182,1.0,1.0
Axilla,0.5426136363636364,1.0,1.0
Axilla,0.546875,1.0,1.0
Axilla,0.5511363636363636,1.0,1.0
Axilla,0.5553977272727273,1.0,1.0
Axilla,0.6164772727272727,1.0,1.0
Axilla,0.6264204545454546,1.0,1.0
Axilla,0.6292613636363636,1.0,1.0
Axilla,0.6306818181818182,1.0,1.0
Axilla,0.6363636363636364,1.0,1.0
Axilla,0.6434659090909091,1.0,1.0
Axilla,0.6463068181818182,1.0,1.0
Axilla,0.6505681818181818,1.0,1.0
Axilla,0.6548295454545454,1.0,1.0
Axilla,0.6576704545454546,1.0,1.0
Axilla,0.6633522727272727,1.0,1.0
Axilla,0.7613636363636364,1.0,1.0
Axilla,0.765625,1.0,1.0
Axilla,0.7698863636363636,1.0,1.0
Axilla,0.7727272727272727,1.0,1.0
Axilla,0.7741477272727273,1.0,1.0
Axilla,0.7769886363636364,1.0,1.0
Axilla,0.7784090909090909,1.0,1.0
Axilla,0.78125,1.0,1.0
Axilla,0.7855113636363636,1.0,1.0
Axilla,0.7911931818181818,1.0,1.0
Axilla,0.7954545454545454,1.0,1.0
Axilla,0.7982954545454546,1.0,1.0
Axilla,0.8025568181818182,1.0,1.0
Axilla,0.8039772727272727,1.0,1.0
Axilla,0.8068181818181818,1.0,1.0
Axilla,1.0,1.0,1.0
External_Nose,0.0,0.0,1.0
External_Nose,0.0,0.015625,1.0
External_Nose,0.0,0.046875,1.0
External_Nose,0.0,0.078125,1.0
External_Nose,0.0,1.0,1.0
External_Nose,0.024147727272727272,1.0,1.0
External_Nose,0.026988636363636364,1.0,1.0
External_Nose,0.029829545454545456,1.0,1.0
External_Nose,0.03409090909090909,1.0,1.0
External_Nose,0.03977272727272727,1.0,1.0
External_Nose,0.04261363636363636,1.0,1.0
External_Nose,0.05113636363636364,1.0,1.0
External_Nose,0.056818181818181816,1.0,1.0
External_Nose,0.09090909090909091,1.0,1.0
External_Nose,0.09375,1.0,1.0
External_Nose,0.10227272727272728,1.0,1.0
External_Nose,0.10653409090909091,1.0,1.0
